date,team,seed,division,wins,losses,points,clincher,leads_division,gap_to_division,gap_to_last_spot
2026-08-24,Detroit Tigers,12,American League Central,61,69,,,no,7 GB,3.5 GB
2026-08-25,Detroit Tigers,12,American League Central,61,70,,,no,7 GB,4.5 GB
2026-08-26,Detroit Tigers,12,American League Central,62,70,,,no,7 GB,4.5 GB
2026-08-28,Detroit Tigers,12,American League Central,62,71,,,no,8 GB,5.5 GB
2026-08-29,Detroit Tigers,12,American League Central,62,72,,,no,9 GB,5.5 GB
2026-08-30,Detroit Tigers,12,American League Central,63,72,,,no,9 GB,4.5 GB
2026-08-31,Detroit Tigers,12,American League Central,63,73,,,no,9 GB,5.5 GB
2026-09-01,Detroit Tigers,12,American League Central,63,74,,,no,9 GB,6 GB
2026-09-02,Detroit Tigers,12,American League Central,63,75,,,no,10 GB,7 GB
2026-09-03,Detroit Tigers,12,American League Central,64,75,,,no,9 GB,6 GB
2026-09-04,Detroit Tigers,12,American League Central,64,75,,,no,8.5 GB,5.5 GB
2026-09-05,Detroit Tigers,12,American League Central,64,77,,,no,10 GB,7.5 GB
2026-09-06,Detroit Tigers,12,American League Central,65,77,,,no,9 GB,6.5 GB
2026-09-07,Detroit Tigers,12,American League Central,65,78,,,no,10 GB,7.5 GB
2026-09-08,Detroit Tigers,12,American League Central,66,78,,,no,9.5 GB,6.5 GB
2026-09-09,Detroit Tigers,12,American League Central,66,79,,,no,9.5 GB,7.5 GB
2026-09-10,Detroit Tigers,12,American League Central,67,79,,,no,8.5 GB,6.5 GB
2026-09-11,Detroit Tigers,12,American League Central,67,79,,,no,8 GB,6.5 GB
2026-09-12,Detroit Tigers,12,American League Central,68,79,,,no,7 GB,6.5 GB
2026-09-13,Detroit Tigers,12,American League Central,69,79,,,no,7 GB,5.5 GB
2026-09-14,Detroit Tigers,11,American League Central,70,79,,,no,6 GB,5.5 GB
2026-09-15,Detroit Tigers,10,American League Central,71,79,,,no,6 GB,4.5 GB
2026-09-16,Detroit Tigers,10,American League Central,72,79,,,no,5 GB,4.5 GB
2026-09-17,Detroit Tigers,10,American League Central,72,80,,,no,5.5 GB,5 GB
2026-09-18,Detroit Tigers,10,American League Central,72,81,,,no,6 GB,6 GB
2026-09-19,Detroit Tigers,10,American League Central,73,81,,,no,6 GB,5 GB
2026-09-20,Detroit Tigers,10,American League Central,73,82,,,no,7 GB,6 GB
2026-09-21,Detroit Tigers,12,American League Central,73,83,,e,no,8 GB,7 GB
2026-09-22,Detroit Tigers,10,American League Central,74,83,,e,no,7.5 GB,6.5 GB
2026-09-23,Detroit Tigers,11,American League Central,74,84,,e,no,8.5 GB,7.5 GB
2026-09-24,Detroit Tigers,12,American League Central,74,85,,e,no,8.5 GB,7.5 GB
2026-09-25,Detroit Tigers,11,American League Central,74,85,,e,no,9 GB,8 GB
