date,team,seed,division,wins,losses,points,clincher,leads_division,gap_to_division,gap_to_last_spot
2026-08-24,Detroit Lions,4,NFC North,1,1,,,yes,,level
2026-08-25,Detroit Lions,4,NFC North,1,1,,,yes,,level
2026-08-26,Detroit Lions,4,NFC North,1,1,,,yes,,level
2026-08-28,Detroit Lions,4,NFC North,1,1,,,yes,,level
2026-08-29,Detroit Lions,9,NFC North,1,1,,,no,0.5 GB,0.5 GB
2026-08-30,Detroit Lions,5,NFC North,2,1,,,no,level,level
2026-08-31,Detroit Lions,5,NFC North,2,1,,,no,level,level
2026-09-01,Detroit Lions,5,NFC North,2,1,,,no,level,level
2026-09-02,Detroit Lions,5,NFC North,2,1,,,no,level,level
2026-09-03,Detroit Lions,5,NFC North,2,1,,,no,level,level
