date,team,seed,division,wins,losses,points,clincher,leads_division,gap_to_division,gap_to_last_spot
2026-08-24,Detroit Red Wings,10,Atlantic Division,41,31,92,e,no,17 pts back,6 pts back
2026-08-25,Detroit Red Wings,10,Atlantic Division,41,31,92,e,no,17 pts back,6 pts back
2026-08-26,Detroit Red Wings,10,Atlantic Division,41,31,92,e,no,17 pts back,6 pts back
2026-08-28,Detroit Red Wings,10,Atlantic Division,41,31,92,e,no,17 pts back,6 pts back
2026-08-29,Detroit Red Wings,10,Atlantic Division,41,31,92,e,no,17 pts back,6 pts back
2026-08-30,Detroit Red Wings,10,Atlantic Division,41,31,92,e,no,17 pts back,6 pts back
2026-08-31,Detroit Red Wings,10,Atlantic Division,41,31,92,e,no,17 pts back,6 pts back
2026-09-01,Detroit Red Wings,10,Atlantic Division,41,31,92,e,no,17 pts back,6 pts back
2026-09-02,Detroit Red Wings,10,Atlantic Division,41,31,92,e,no,17 pts back,6 pts back
2026-09-03,Detroit Red Wings,10,Atlantic Division,41,31,92,e,no,17 pts back,6 pts back
2026-09-04,Detroit Red Wings,10,Atlantic Division,41,31,92,e,no,17 pts back,6 pts back
2026-09-05,Detroit Red Wings,10,Atlantic Division,41,31,92,e,no,17 pts back,6 pts back
2026-09-06,Detroit Red Wings,10,Atlantic Division,41,31,92,e,no,17 pts back,6 pts back
2026-09-07,Detroit Red Wings,10,Atlantic Division,41,31,92,e,no,17 pts back,6 pts back
2026-09-08,Detroit Red Wings,10,Atlantic Division,41,31,92,e,no,17 pts back,6 pts back
2026-09-09,Detroit Red Wings,10,Atlantic Division,41,31,92,e,no,17 pts back,6 pts back
2026-09-10,Detroit Red Wings,,Atlantic Division,0,0,0,,no,,
2026-09-11,Detroit Red Wings,,Atlantic Division,0,0,0,,no,,
2026-09-12,Detroit Red Wings,,Atlantic Division,0,0,0,,no,,
2026-09-13,Detroit Red Wings,,Atlantic Division,0,0,0,,no,,
2026-09-14,Detroit Red Wings,,Atlantic Division,0,0,0,,no,,
2026-09-15,Detroit Red Wings,,Atlantic Division,0,0,0,,no,,
2026-09-16,Detroit Red Wings,,Atlantic Division,0,0,0,,no,,
2026-09-17,Detroit Red Wings,,Atlantic Division,0,0,0,,no,,
2026-09-18,Detroit Red Wings,,Atlantic Division,0,0,0,,no,,
2026-09-19,Detroit Red Wings,,Atlantic Division,0,0,0,,no,,
2026-09-20,Detroit Red Wings,5,Atlantic Division,0,0,0,,no,4 pts back,level on points
2026-09-21,Detroit Red Wings,8,Atlantic Division,0,0,0,,no,4 pts back,
2026-09-22,Detroit Red Wings,10,Atlantic Division,0,0,1,,no,5 pts back,1 pts back
2026-09-23,Detroit Red Wings,6,Atlantic Division,1,0,3,,no,3 pts back,1 pts ahead
2026-09-24,Detroit Red Wings,6,Atlantic Division,1,0,3,,no,3 pts back,level on points
2026-09-25,Detroit Red Wings,4,Atlantic Division,2,0,5,,no,1 pts back,1 pts ahead
2026-09-26,Detroit Red Wings,4,Atlantic Division,2,0,5,,no,1 pts back,1 pts ahead
